WEEK,OPP,TD,INT,FR,SCK,SFTY,BLK,PA,FPTS,Lions D
7,NYG,0,1,2,3,0,0,21,11,
8,Dal,1,0,2,4,1,0,9,23,
9,BYE,--,--,--,--,--,--,--,--,
10,@NYG,0,0,0,3,0,0,27,2,
11,@Cle,0,0,1,3,0,1,14,9,
12,Sea,0,0,0,2,0,0,23,2,
13,@GB,1,0,0,2,0,0,30,4,
14,NO,0,1,1,5,0,0,21,9,
15,@Ari,0,1,2,1,0,0,31,2,
16,@Dal,0,1,0,2,0,0,37,-5,
17,Wsh,0,2,0,3,0,0,20,9,
1,Hou,0,1,0,4,0,0,20,5,Chiefs
2,@LAC,0,1,0,2,0,0,20,-1,
3,@Bal,0,0,1,4,0,0,20,11,
4,NE,1,3,1,2,0,0,10,19,
5,LV,0,1,0,1,0,0,40,-5,
6,@Buf,0,1,0,0,0,0,17,5,
7,@Den,2,2,2,3,0,0,16,23,
8,NYJ,0,0,1,1,0,1,9,11,
9,Car,0,0,0,2,0,0,31,-1,
10,BYE,--,--,--,--,--,--,--,--,
11,@LV,0,1,0,0,0,0,31,0,
12,@TB,0,2,0,1,0,0,24,2,
13,Den,0,2,0,0,0,0,16,5,
14,@Mia,1,1,0,4,1,0,27,14,
15,@NO,0,1,0,1,0,0,29,4,
16,Atl,0,0,1,4,0,0,14,10,
17,LAC,0,0,0,3,0,0,36,-3,
1,@Bal,0,0,1,2,0,0,38,1,Browns
2,Cin,0,0,1,3,0,0,30,4,
3,Wsh,0,3,2,3,0,0,20,16,
4,@Dal,0,1,2,3,0,0,38,1,
5,Ind,1,2,0,1,1,0,23,13,
6,@Pit,0,0,0,2,0,0,32,3,
7,@Cin,0,1,1,4,0,0,34,3,
8,LV,0,0,0,2,0,0,16,4,
9,BYE,--,--,--,--,--,--,--,--,
10,Hou,0,0,0,2,0,0,7,7,
11,Phi,1,2,1,5,1,0,17,22,
12,@Jax,0,0,0,0,0,0,25,0,
13,@Ten,0,1,2,3,0,0,35,6,
14,Bal,0,0,0,4,0,1,45,3,
15,@NYG,0,0,0,1,0,0,6,8,
16,@NYJ,0,0,0,2,0,2,23,6,
17,Pit,0,1,0,1,0,0,22,2,
1,Pit,0,0,1,2,0,0,26,5,Giants
2,@Chi,0,2,0,4,0,0,17,10,
3,SF,0,0,0,2,0,0,36,-4,
4,@LAR,0,0,1,2,0,0,17,9,
5,@Dal,1,1,1,2,0,0,31,8,
6,Wsh,1,1,1,3,0,0,19,14,
7,@Phi,0,1,0,3,0,0,22,2,
8,TB,0,0,1,2,0,0,25,5,
9,@Wsh,0,3,2,2,0,0,20,11,
10,Phi,0,0,0,3,0,0,17,4,
11,BYE,--,--,--,--,--,--,--,--,
12,@Cin,0,1,2,2,0,0,17,16,
13,@Sea,0,1,1,5,0,0,12,14,
14,Ari,0,0,0,1,0,0,26,2,
15,Cle,0,0,0,1,0,0,20,0,
